iter 248: loss 2.4326, time 16.19ms, mfu 0.03%
iter 249: loss 2.5054, time 16.27ms, mfu 0.03%
step 250: train loss 2.4747, val loss 2.4818
saving checkpoint to C:\Users\amitc\OneDrive\Desktop\Research\NanoGpt\nanoGPT\experiments\exp003_depth2
iter 250: loss 2.4230, time 231.27ms, mfu 0.03%
iter 251: loss 2.4672, time 15.53ms, mfu 0.03%
iter 252: loss 2.4650, time 15.78ms, mfu 0.03%
iter 253: loss 2.4660, time 16.77ms, mfu 0.03%
iter 254: loss 2.5253, time 16.46ms, mfu 0.03%
iter 255: loss 2.4759, time 16.27ms, mfu 0.03%
iter 256: loss 2.4763, time 14.58ms, mfu 0.03%
iter 257: loss 2.4559, time 14.79ms, mfu 0.03%
iter 258: loss 2.3733, time 15.82ms, mfu 0.03%
iter 259: loss 2.3963, time 15.15ms, mfu 0.03%
iter 260: loss 2.4244, time 13.73ms, mfu 0.03%
iter 261: loss 2.4128, time 16.45ms, mfu 0.03%
iter 262: loss 2.4974, time 15.06ms, mfu 0.03%
iter 263: loss 2.4170, time 15.08ms, mfu 0.03%
iter 264: loss 2.4545, time 16.52ms, mfu 0.03%
iter 265: loss 2.4396, time 16.64ms, mfu 0.03%
iter 266: loss 2.4918, time 16.95ms, mfu 0.03%
iter 267: loss 2.3862, time 17.18ms, mfu 0.03%
iter 268: loss 2.4081, time 16.03ms, mfu 0.03%
iter 269: loss 2.4585, time 16.20ms, mfu 0.03%
iter 270: loss 2.4910, time 16.57ms, mfu 0.03%
iter 271: loss 2.4660, time 15.63ms, mfu 0.03%
iter 272: loss 2.4044, time 15.92ms, mfu 0.03%
iter 273: loss 2.4642, time 15.38ms, mfu 0.03%
iter 274: loss 2.4918, time 15.60ms, mfu 0.03%
iter 275: loss 2.4447, time 15.73ms, mfu 0.03%
iter 276: loss 2.4341, time 16.46ms, mfu 0.03%
iter 277: loss 2.4855, time 16.38ms, mfu 0.03%
iter 278: loss 2.4591, time 16.46ms, mfu 0.03%
iter 279: loss 2.4441, time 16.32ms, mfu 0.03%
iter 280: loss 2.4081, time 16.47ms, mfu 0.03%
iter 281: loss 2.5052, time 16.45ms, mfu 0.03%
iter 282: loss 2.4004, time 16.94ms, mfu 0.03%
iter 283: loss 2.5033, time 16.35ms, mfu 0.03%
iter 284: loss 2.3917, time 16.60ms, mfu 0.03%
iter 285: loss 2.5255, time 17.21ms, mfu 0.03%
iter 286: loss 2.4825, time 17.09ms, mfu 0.03%
iter 287: loss 2.4366, time 17.95ms, mfu 0.03%
iter 288: loss 2.3477, time 19.38ms, mfu 0.03%
iter 289: loss 2.4095, time 18.17ms, mfu 0.03%
iter 290: loss 2.5288, time 17.42ms, mfu 0.03%
iter 291: loss 2.4555, time 17.20ms, mfu 0.03%
iter 292: loss 2.4234, time 17.46ms, mfu 0.03%
iter 293: loss 2.5047, time 17.42ms, mfu 0.03%
iter 294: loss 2.3913, time 18.06ms, mfu 0.03%
iter 295: loss 2.4248, time 18.69ms, mfu 0.03%
iter 296: loss 2.4509, time 17.94ms, mfu 0.03%
iter 297: loss 2.4830, time 17.60ms, mfu 0.03%
iter 298: loss 2.4013, time 17.23ms, mfu 0.03%
iter 299: loss 2.4040, time 16.11ms, mfu 0.03%
iter 300: loss 2.4737, time 16.44ms, mfu 0.03%
iter 301: loss 2.4199, time 15.33ms, mfu 0.03%
iter 302: loss 2.4152, time 17.31ms, mfu 0.03%
iter 303: loss 2.4238, time 18.13ms, mfu 0.03%
iter 304: loss 2.3950, time 16.91ms, mfu 0.03%
iter 305: loss 2.4815, time 15.65ms, mfu 0.03%
iter 306: loss 2.4696, time 15.22ms, mfu 0.03%
iter 307: loss 2.4730, time 15.71ms, mfu 0.03%
iter 308: loss 2.5183, time 16.40ms, mfu 0.03%
iter 309: loss 2.4080, time 16.39ms, mfu 0.03%
iter 310: loss 2.4315, time 16.10ms, mfu 0.03%
iter 311: loss 2.5236, time 16.57ms, mfu 0.03%
iter 312: loss 2.4018, time 16.85ms, mfu 0.03%
iter 313: loss 2.4179, time 16.42ms, mfu 0.03%
iter 314: loss 2.3544, time 16.64ms, mfu 0.03%
iter 315: loss 2.4250, time 16.32ms, mfu 0.03%
iter 316: loss 2.4666, time 17.10ms, mfu 0.03%
iter 317: loss 2.3702, time 17.10ms, mfu 0.03%
iter 318: loss 2.4036, time 17.31ms, mfu 0.03%
iter 319: loss 2.4325, time 15.25ms, mfu 0.03%
iter 320: loss 2.3936, time 16.37ms, mfu 0.03%
iter 321: loss 2.4322, time 17.03ms, mfu 0.03%
iter 322: loss 2.4805, time 16.55ms, mfu 0.03%
iter 323: loss 2.4650, time 17.54ms, mfu 0.03%
iter 324: loss 2.4017, time 16.59ms, mfu 0.03%
iter 325: loss 2.3785, time 15.84ms, mfu 0.03%
iter 326: loss 2.4743, time 16.16ms, mfu 0.03%
iter 327: loss 2.4914, time 16.33ms, mfu 0.03%
iter 328: loss 2.4087, time 16.19ms, mfu 0.03%
iter 329: loss 2.4271, time 17.21ms, mfu 0.03%
iter 330: loss 2.4101, time 16.91ms, mfu 0.03%
iter 331: loss 2.4044, time 17.00ms, mfu 0.03%
iter 332: loss 2.3629, time 16.55ms, mfu 0.03%
iter 333: loss 2.4245, time 16.35ms, mfu 0.03%
iter 334: loss 2.3829, time 16.09ms, mfu 0.03%
iter 335: loss 2.4537, time 15.63ms, mfu 0.03%
iter 336: loss 2.4297, time 16.67ms, mfu 0.03%
iter 337: loss 2.3916, time 16.72ms, mfu 0.03%
iter 338: loss 2.4526, time 16.44ms, mfu 0.03%
iter 339: loss 2.3409, time 16.72ms, mfu 0.03%
iter 340: loss 2.3731, time 16.81ms, mfu 0.03%
iter 341: loss 2.4238, time 16.18ms, mfu 0.03%
iter 342: loss 2.4403, time 16.63ms, mfu 0.03%
iter 343: loss 2.3480, time 16.23ms, mfu 0.03%
iter 344: loss 2.4344, time 16.35ms, mfu 0.03%
iter 345: loss 2.4940, time 16.47ms, mfu 0.03%
iter 346: loss 2.4548, time 16.62ms, mfu 0.03%
iter 347: loss 2.3916, time 16.28ms, mfu 0.03%
iter 348: loss 2.3743, time 17.03ms, mfu 0.03%
iter 349: loss 2.4240, time 16.44ms, mfu 0.03%
iter 350: loss 2.3408, time 16.01ms, mfu 0.03%
iter 351: loss 2.3639, time 16.90ms, mfu 0.03%
iter 352: loss 2.3492, time 16.89ms, mfu 0.03%
iter 353: loss 2.3523, time 16.37ms, mfu 0.03%
iter 354: loss 2.4783, time 17.70ms, mfu 0.03%
iter 355: loss 2.3092, time 14.61ms, mfu 0.03%
iter 356: loss 2.3473, time 13.93ms, mfu 0.03%
iter 357: loss 2.4068, time 14.02ms, mfu 0.03%
iter 358: loss 2.3036, time 16.72ms, mfu 0.03%
iter 359: loss 2.3794, time 16.68ms, mfu 0.03%
iter 360: loss 2.4362, time 16.50ms, mfu 0.03%
iter 361: loss 2.3591, time 14.17ms, mfu 0.03%
iter 362: loss 2.3297, time 16.39ms, mfu 0.03%
iter 363: loss 2.4194, time 15.09ms, mfu 0.03%
iter 364: loss 2.3773, time 15.03ms, mfu 0.03%
iter 365: loss 2.4176, time 16.88ms, mfu 0.03%
iter 366: loss 2.3675, time 16.54ms, mfu 0.03%
iter 367: loss 2.4396, time 16.48ms, mfu 0.03%
iter 368: loss 2.3802, time 16.26ms, mfu 0.03%
iter 369: loss 2.4108, time 16.20ms, mfu 0.03%
iter 370: loss 2.3723, time 16.49ms, mfu 0.03%
iter 371: loss 2.4655, time 16.18ms, mfu 0.03%
iter 372: loss 2.3253, time 16.33ms, mfu 0.03%
iter 373: loss 2.4116, time 16.54ms, mfu 0.03%
iter 374: loss 2.4461, time 16.47ms, mfu 0.03%
iter 375: loss 2.4377, time 16.82ms, mfu 0.03%
iter 376: loss 2.3352, time 16.45ms, mfu 0.03%
iter 377: loss 2.3501, time 16.42ms, mfu 0.03%
