iter 141: loss 2.5816, time 26.35ms, mfu 0.04%
iter 142: loss 2.5435, time 23.59ms, mfu 0.04%
iter 143: loss 2.5523, time 24.53ms, mfu 0.04%
iter 144: loss 2.5208, time 27.58ms, mfu 0.04%
iter 145: loss 2.5337, time 27.30ms, mfu 0.04%
iter 146: loss 2.5266, time 22.73ms, mfu 0.04%
iter 147: loss 2.5361, time 27.39ms, mfu 0.04%
iter 148: loss 2.6714, time 27.54ms, mfu 0.04%
iter 149: loss 2.4995, time 27.33ms, mfu 0.04%
iter 150: loss 2.5511, time 29.26ms, mfu 0.04%
iter 151: loss 2.5226, time 24.66ms, mfu 0.04%
iter 152: loss 2.4404, time 24.64ms, mfu 0.04%
iter 153: loss 2.5399, time 28.43ms, mfu 0.04%
iter 154: loss 2.5197, time 26.66ms, mfu 0.04%
iter 155: loss 2.5037, time 27.26ms, mfu 0.04%
iter 156: loss 2.4382, time 24.52ms, mfu 0.04%
iter 157: loss 2.5429, time 26.85ms, mfu 0.04%
iter 158: loss 2.4936, time 26.39ms, mfu 0.04%
iter 159: loss 2.4903, time 29.64ms, mfu 0.04%
iter 160: loss 2.5477, time 27.85ms, mfu 0.04%
iter 161: loss 2.5341, time 30.04ms, mfu 0.04%
iter 162: loss 2.5256, time 28.06ms, mfu 0.04%
iter 163: loss 2.4466, time 25.67ms, mfu 0.04%
iter 164: loss 2.4173, time 25.75ms, mfu 0.04%
iter 165: loss 2.5093, time 26.94ms, mfu 0.04%
iter 166: loss 2.5671, time 29.21ms, mfu 0.04%
iter 167: loss 2.4508, time 29.34ms, mfu 0.04%
iter 168: loss 2.4707, time 28.61ms, mfu 0.04%
iter 169: loss 2.5990, time 43.36ms, mfu 0.03%
iter 170: loss 2.5548, time 47.67ms, mfu 0.03%
iter 171: loss 2.5198, time 35.38ms, mfu 0.03%
iter 172: loss 2.5176, time 28.07ms, mfu 0.03%
iter 173: loss 2.4794, time 30.48ms, mfu 0.03%
iter 174: loss 2.5278, time 27.05ms, mfu 0.03%
iter 175: loss 2.4706, time 30.37ms, mfu 0.03%
iter 176: loss 2.4809, time 38.40ms, mfu 0.03%
iter 177: loss 2.4974, time 35.33ms, mfu 0.03%
iter 178: loss 2.5080, time 32.96ms, mfu 0.03%
iter 179: loss 2.5396, time 26.91ms, mfu 0.03%
iter 180: loss 2.4782, time 29.05ms, mfu 0.03%
iter 181: loss 2.4895, time 31.16ms, mfu 0.03%
iter 182: loss 2.4976, time 30.94ms, mfu 0.03%
iter 183: loss 2.4209, time 31.11ms, mfu 0.03%
iter 184: loss 2.5222, time 28.23ms, mfu 0.03%
iter 185: loss 2.5029, time 29.87ms, mfu 0.03%
iter 186: loss 2.4792, time 29.89ms, mfu 0.03%
iter 187: loss 2.4765, time 26.69ms, mfu 0.03%
iter 188: loss 2.5717, time 28.07ms, mfu 0.03%
iter 189: loss 2.5049, time 28.07ms, mfu 0.03%
iter 190: loss 2.5547, time 30.82ms, mfu 0.03%
iter 191: loss 2.4889, time 26.92ms, mfu 0.03%
iter 192: loss 2.5409, time 24.66ms, mfu 0.03%
iter 193: loss 2.4982, time 31.15ms, mfu 0.03%
iter 194: loss 2.4917, time 29.02ms, mfu 0.03%
iter 195: loss 2.4581, time 23.77ms, mfu 0.03%
iter 196: loss 2.4603, time 28.04ms, mfu 0.03%
iter 197: loss 2.4892, time 27.43ms, mfu 0.03%
iter 198: loss 2.5046, time 28.17ms, mfu 0.03%
iter 199: loss 2.3755, time 28.54ms, mfu 0.03%
iter 200: loss 2.4728, time 28.00ms, mfu 0.03%
iter 201: loss 2.4949, time 27.01ms, mfu 0.04%
iter 202: loss 2.4408, time 28.99ms, mfu 0.03%
iter 203: loss 2.5276, time 28.79ms, mfu 0.03%
iter 204: loss 2.5799, time 24.82ms, mfu 0.04%
iter 205: loss 2.4600, time 29.64ms, mfu 0.04%
iter 206: loss 2.4452, time 26.48ms, mfu 0.04%
iter 207: loss 2.4632, time 25.78ms, mfu 0.04%
iter 208: loss 2.4693, time 27.92ms, mfu 0.04%
iter 209: loss 2.5170, time 26.24ms, mfu 0.04%
iter 210: loss 2.4642, time 27.99ms, mfu 0.04%
iter 211: loss 2.3637, time 29.78ms, mfu 0.04%
iter 212: loss 2.4844, time 24.85ms, mfu 0.04%
iter 213: loss 2.4734, time 28.30ms, mfu 0.04%
iter 214: loss 2.5304, time 27.45ms, mfu 0.04%
iter 215: loss 2.4932, time 24.69ms, mfu 0.04%
iter 216: loss 2.4276, time 23.77ms, mfu 0.04%
