iter 131: loss 2.6175, time 19.52ms, mfu 0.03%
iter 132: loss 2.5313, time 18.74ms, mfu 0.03%
iter 133: loss 2.5637, time 18.52ms, mfu 0.03%
iter 134: loss 2.5376, time 16.53ms, mfu 0.03%
iter 135: loss 2.5133, time 19.47ms, mfu 0.03%
iter 136: loss 2.5130, time 19.06ms, mfu 0.03%
iter 137: loss 2.5967, time 18.79ms, mfu 0.03%
iter 138: loss 2.5651, time 19.37ms, mfu 0.03%
iter 139: loss 2.5465, time 17.56ms, mfu 0.03%
iter 140: loss 2.4563, time 17.17ms, mfu 0.03%
iter 141: loss 2.5258, time 18.18ms, mfu 0.03%
iter 142: loss 2.4599, time 18.72ms, mfu 0.03%
iter 143: loss 2.5836, time 16.98ms, mfu 0.03%
iter 144: loss 2.6247, time 19.55ms, mfu 0.03%
iter 145: loss 2.5393, time 18.23ms, mfu 0.03%
iter 146: loss 2.5641, time 17.79ms, mfu 0.03%
iter 147: loss 2.4882, time 17.69ms, mfu 0.03%
iter 148: loss 2.5592, time 18.11ms, mfu 0.03%
iter 149: loss 2.5730, time 17.87ms, mfu 0.03%
iter 150: loss 2.5690, time 19.69ms, mfu 0.03%
iter 151: loss 2.4340, time 18.50ms, mfu 0.03%
iter 152: loss 2.5497, time 17.53ms, mfu 0.03%
iter 153: loss 2.5442, time 20.62ms, mfu 0.03%
iter 154: loss 2.5584, time 18.21ms, mfu 0.03%
iter 155: loss 2.6048, time 18.76ms, mfu 0.03%
iter 156: loss 2.4049, time 19.45ms, mfu 0.03%
iter 157: loss 2.5020, time 18.28ms, mfu 0.03%
iter 158: loss 2.5052, time 20.15ms, mfu 0.03%
iter 159: loss 2.6080, time 17.66ms, mfu 0.03%
iter 160: loss 2.4573, time 19.95ms, mfu 0.03%
iter 161: loss 2.4886, time 18.05ms, mfu 0.03%
iter 162: loss 2.5187, time 18.00ms, mfu 0.03%
iter 163: loss 2.5339, time 18.88ms, mfu 0.03%
iter 164: loss 2.4898, time 18.36ms, mfu 0.03%
iter 165: loss 2.5394, time 18.31ms, mfu 0.03%
iter 166: loss 2.5433, time 18.23ms, mfu 0.03%
iter 167: loss 2.4718, time 19.20ms, mfu 0.03%
iter 168: loss 2.5881, time 17.47ms, mfu 0.03%
iter 169: loss 2.5243, time 18.26ms, mfu 0.03%
iter 170: loss 2.4898, time 17.93ms, mfu 0.03%
iter 171: loss 2.5452, time 19.35ms, mfu 0.03%
iter 172: loss 2.5257, time 19.60ms, mfu 0.03%
iter 173: loss 2.4917, time 18.27ms, mfu 0.03%
iter 174: loss 2.4975, time 19.84ms, mfu 0.03%
iter 175: loss 2.4966, time 18.92ms, mfu 0.03%
iter 176: loss 2.4978, time 17.83ms, mfu 0.03%
iter 177: loss 2.4446, time 17.72ms, mfu 0.03%
iter 178: loss 2.5265, time 18.98ms, mfu 0.03%
iter 179: loss 2.5835, time 18.12ms, mfu 0.03%
iter 180: loss 2.5287, time 16.31ms, mfu 0.03%
iter 181: loss 2.5255, time 19.05ms, mfu 0.03%
iter 182: loss 2.4756, time 17.83ms, mfu 0.03%
iter 183: loss 2.4629, time 17.34ms, mfu 0.03%
iter 184: loss 2.5222, time 18.09ms, mfu 0.03%
iter 185: loss 2.5968, time 18.83ms, mfu 0.03%
iter 186: loss 2.4655, time 17.89ms, mfu 0.03%
iter 187: loss 2.5012, time 18.94ms, mfu 0.03%
iter 188: loss 2.4745, time 18.09ms, mfu 0.03%
iter 189: loss 2.4902, time 18.79ms, mfu 0.03%
iter 190: loss 2.4525, time 19.24ms, mfu 0.03%
iter 191: loss 2.4786, time 17.89ms, mfu 0.03%
iter 192: loss 2.6106, time 18.48ms, mfu 0.03%
iter 193: loss 2.4279, time 18.48ms, mfu 0.03%
iter 194: loss 2.3940, time 17.36ms, mfu 0.03%
iter 195: loss 2.4982, time 18.70ms, mfu 0.03%
iter 196: loss 2.4350, time 19.85ms, mfu 0.03%
iter 197: loss 2.3890, time 18.49ms, mfu 0.03%
iter 198: loss 2.4936, time 19.17ms, mfu 0.03%
iter 199: loss 2.4396, time 17.92ms, mfu 0.03%
iter 200: loss 2.4120, time 18.27ms, mfu 0.03%
iter 201: loss 2.4526, time 19.25ms, mfu 0.03%
iter 202: loss 2.4486, time 18.47ms, mfu 0.03%
iter 203: loss 2.5552, time 20.00ms, mfu 0.03%
iter 204: loss 2.4957, time 17.84ms, mfu 0.03%
iter 205: loss 2.5122, time 17.90ms, mfu 0.03%
iter 206: loss 2.4920, time 17.45ms, mfu 0.03%
iter 207: loss 2.5127, time 19.27ms, mfu 0.03%
iter 208: loss 2.5100, time 18.91ms, mfu 0.03%
iter 209: loss 2.4385, time 17.90ms, mfu 0.03%
iter 210: loss 2.4916, time 19.12ms, mfu 0.03%
iter 211: loss 2.4431, time 18.90ms, mfu 0.03%
iter 212: loss 2.4358, time 18.00ms, mfu 0.03%
iter 213: loss 2.4232, time 17.12ms, mfu 0.03%
iter 214: loss 2.5498, time 18.34ms, mfu 0.03%
iter 215: loss 2.4901, time 18.54ms, mfu 0.03%
iter 216: loss 2.5193, time 19.74ms, mfu 0.03%
iter 217: loss 2.4383, time 19.83ms, mfu 0.03%
iter 218: loss 2.3511, time 19.53ms, mfu 0.03%
iter 219: loss 2.4123, time 17.90ms, mfu 0.03%
iter 220: loss 2.4028, time 18.17ms, mfu 0.03%
iter 221: loss 2.4165, time 19.05ms, mfu 0.03%
iter 222: loss 2.4224, time 18.48ms, mfu 0.03%
iter 223: loss 2.4488, time 18.94ms, mfu 0.03%
iter 224: loss 2.4341, time 18.07ms, mfu 0.03%
iter 225: loss 2.4601, time 20.31ms, mfu 0.03%
iter 226: loss 2.3568, time 18.47ms, mfu 0.03%
iter 227: loss 2.4663, time 18.74ms, mfu 0.03%
iter 228: loss 2.4471, time 19.73ms, mfu 0.03%
iter 229: loss 2.4585, time 18.81ms, mfu 0.03%
iter 230: loss 2.4703, time 19.71ms, mfu 0.03%
iter 231: loss 2.4857, time 19.28ms, mfu 0.03%
iter 232: loss 2.4335, time 18.60ms, mfu 0.03%
iter 233: loss 2.4886, time 17.83ms, mfu 0.03%
iter 234: loss 2.5936, time 18.29ms, mfu 0.03%
iter 235: loss 2.4114, time 17.51ms, mfu 0.03%
iter 236: loss 2.5187, time 17.62ms, mfu 0.03%
iter 237: loss 2.4400, time 18.41ms, mfu 0.03%
iter 238: loss 2.5111, time 18.99ms, mfu 0.03%
iter 239: loss 2.4395, time 20.01ms, mfu 0.03%
iter 240: loss 2.4763, time 18.19ms, mfu 0.03%
iter 241: loss 2.5449, time 18.57ms, mfu 0.03%
iter 242: loss 2.5106, time 18.78ms, mfu 0.03%
iter 243: loss 2.5262, time 18.34ms, mfu 0.03%
iter 244: loss 2.5118, time 19.09ms, mfu 0.03%
iter 245: loss 2.3759, time 18.43ms, mfu 0.03%
iter 246: loss 2.4675, time 16.81ms, mfu 0.03%
iter 247: loss 2.4661, time 17.86ms, mfu 0.03%
iter 248: loss 2.4239, time 18.23ms, mfu 0.03%
iter 249: loss 2.4991, time 17.60ms, mfu 0.03%
step 250: train loss 2.4714, val loss 2.4779
saving checkpoint to C:\Users\amitc\OneDrive\Desktop\Research\NanoGpt\nanoGPT\experiments\attention_ablation_7
iter 250: loss 2.4202, time 284.59ms, mfu 0.02%
iter 251: loss 2.4595, time 18.94ms, mfu 0.02%
iter 252: loss 2.4670, time 18.48ms, mfu 0.03%
iter 253: loss 2.4591, time 19.29ms, mfu 0.03%
iter 254: loss 2.5245, time 18.76ms, mfu 0.03%
iter 255: loss 2.4693, time 18.02ms, mfu 0.03%
